         100652 function calls (100647 primitive calls) in 0.594 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/2    0.238    0.079    0.392    0.196 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\IPython\core\interactiveshell.py:3663(run_code)
    99999    0.327    0.000    0.327    0.000 C:\Users\Franciscocho\AppData\Local\Temp\ipykernel_16280\3748301219.py:5(es_primo_optimizado)
        2    0.000    0.000    0.121    0.061 {built-in method builtins.exec}
        1    0.000    0.000    0.121    0.121 C:\Users\Franciscocho\AppData\Local\Temp\ipykernel_16280\3626114270.py:1(<module>)
        1    0.018    0.018    0.121    0.121 C:\Users\Franciscocho\AppData\Local\Temp\ipykernel_16280\3748301219.py:18(primos_optimizado)
        2    0.000    0.000    0.033    0.016 c:\miniconda\envs\Program_2\Lib\asyncio\base_events.py:1922(_run_once)
        3    0.000    0.000    0.033    0.011 c:\miniconda\envs\Program_2\Lib\asyncio\events.py:86(_run)
        3    0.000    0.000    0.033    0.011 {method 'run' of '_contextvars.Context' objects}
        2    0.000    0.000    0.017    0.009 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\tornado\platform\asyncio.py:206(_handle_events)
        2    0.000    0.000    0.017    0.009 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\zmq\eventloop\zmqstream.py:573(_handle_events)
        2    0.000    0.000    0.016    0.008 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\zmq\eventloop\zmqstream.py:614(_handle_recv)
        2    0.000    0.000    0.016    0.008 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\zmq\eventloop\zmqstream.py:546(_run_callback)
        2    0.000    0.000    0.016    0.008 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:157(_handle_event)
        1    0.000    0.000    0.016    0.016 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:276(<lambda>)
        1    0.000    0.000    0.016    0.016 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:278(_really_send)
        1    0.003    0.003    0.016    0.016 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\zmq\sugar\socket.py:700(send_multipart)
        2    0.002    0.001    0.016    0.008 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:259(schedule)
        2    0.000    0.000    0.016    0.008 c:\miniconda\envs\Program_2\Lib\selectors.py:319(select)
        2    0.002    0.001    0.016    0.008 c:\miniconda\envs\Program_2\Lib\selectors.py:313(_select)
        1    0.000    0.000    0.016    0.016 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\tornado\ioloop.py:750(_run_callback)
        1    0.000    0.000    0.016    0.016 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:616(_flush)
        1    0.000    0.000    0.015    0.015 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\session.py:754(send)
        1    0.000    0.000    0.015    0.015 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:271(send_multipart)
        1    0.000    0.000    0.002    0.002 {built-in method builtins.print}
        2    0.000    0.000    0.002    0.001 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\IPython\core\interactiveshell.py:3043(write)
        9    0.001    0.000    0.001    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\zmq\sugar\socket.py:623(send)
